model,feature_name,feature_role,categorical_order
B0,calendar_month,NUMERIC,
B0,day_of_week,NUMERIC,
B0,venue,CATEGORICAL,1
B0,race_number,NUMERIC,
B0,race_type,CATEGORICAL,2
B0,surface,CATEGORICAL,3
B0,direction,CATEGORICAL,4
B0,distance_m,NUMERIC,
B0,log_prize_1,NUMERIC,
B0,log_prize_total,NUMERIC,
B0,frame_number,NUMERIC,
B0,horse_number,NUMERIC,
B0,assigned_weight,NUMERIC,
B0,jockey_affiliation,CATEGORICAL,5
B0,trainer_affiliation,CATEGORICAL,6
B0,racing_age,NUMERIC,
B0,sex,CATEGORICAL,7
B0,prior_starts,NUMERIC,
B0,days_since_last_race,NUMERIC,
B0,days_since_second_last_race,NUMERIC,
B0,starts_last_30d,NUMERIC,
B0,starts_last_90d,NUMERIC,
B0,starts_last_365d,NUMERIC,
B0,last1_finish_pct,NUMERIC,
B0,mean_last3_finish_pct,NUMERIC,
B0,mean_last5_finish_pct,NUMERIC,
B0,best_last5_finish_pct,NUMERIC,
B0,sd_last5_finish_pct,NUMERIC,
B0,prior_win_rate,NUMERIC,
B0,prior_top3_rate,NUMERIC,
B0,same_venue_starts,NUMERIC,
B0,same_venue_mean_finish_pct,NUMERIC,
B0,same_venue_top3_rate,NUMERIC,
B0,same_distance_starts,NUMERIC,
B0,same_distance_mean_finish_pct,NUMERIC,
B0,same_distance_top3_rate,NUMERIC,
B0,same_venue_distance_starts,NUMERIC,
B0,same_venue_distance_mean_finish_pct,NUMERIC,
B0,same_venue_distance_top3_rate,NUMERIC,
B0,same_surface_starts,NUMERIC,
B0,same_surface_mean_finish_pct,NUMERIC,
B0,same_direction_starts,NUMERIC,
B0,same_direction_mean_finish_pct,NUMERIC,
B0,jockey_90d_starts,NUMERIC,
B0,jockey_90d_mean_finish_pct,NUMERIC,
B0,jockey_90d_top3_rate,NUMERIC,
B0,jockey_365d_starts,NUMERIC,
B0,jockey_365d_mean_finish_pct,NUMERIC,
B0,jockey_365d_top3_rate,NUMERIC,
B0,trainer_90d_starts,NUMERIC,
B0,trainer_90d_mean_finish_pct,NUMERIC,
B0,trainer_90d_top3_rate,NUMERIC,
B0,trainer_365d_starts,NUMERIC,
B0,trainer_365d_mean_finish_pct,NUMERIC,
B0,trainer_365d_top3_rate,NUMERIC,
PRIMARY,calendar_month,NUMERIC,
PRIMARY,day_of_week,NUMERIC,
PRIMARY,venue,CATEGORICAL,1
PRIMARY,race_number,NUMERIC,
PRIMARY,race_type,CATEGORICAL,2
PRIMARY,surface,CATEGORICAL,3
PRIMARY,direction,CATEGORICAL,4
PRIMARY,distance_m,NUMERIC,
PRIMARY,log_prize_1,NUMERIC,
PRIMARY,log_prize_total,NUMERIC,
PRIMARY,frame_number,NUMERIC,
PRIMARY,horse_number,NUMERIC,
PRIMARY,assigned_weight,NUMERIC,
PRIMARY,jockey_affiliation,CATEGORICAL,5
PRIMARY,trainer_affiliation,CATEGORICAL,6
PRIMARY,racing_age,NUMERIC,
PRIMARY,sex,CATEGORICAL,7
PRIMARY,prior_starts,NUMERIC,
PRIMARY,days_since_last_race,NUMERIC,
PRIMARY,days_since_second_last_race,NUMERIC,
PRIMARY,starts_last_30d,NUMERIC,
PRIMARY,starts_last_90d,NUMERIC,
PRIMARY,starts_last_365d,NUMERIC,
PRIMARY,last1_finish_pct,NUMERIC,
PRIMARY,mean_last3_finish_pct,NUMERIC,
PRIMARY,mean_last5_finish_pct,NUMERIC,
PRIMARY,best_last5_finish_pct,NUMERIC,
PRIMARY,sd_last5_finish_pct,NUMERIC,
PRIMARY,prior_win_rate,NUMERIC,
PRIMARY,prior_top3_rate,NUMERIC,
PRIMARY,same_venue_starts,NUMERIC,
PRIMARY,same_venue_mean_finish_pct,NUMERIC,
PRIMARY,same_venue_top3_rate,NUMERIC,
PRIMARY,same_distance_starts,NUMERIC,
PRIMARY,same_distance_mean_finish_pct,NUMERIC,
PRIMARY,same_distance_top3_rate,NUMERIC,
PRIMARY,same_venue_distance_starts,NUMERIC,
PRIMARY,same_venue_distance_mean_finish_pct,NUMERIC,
PRIMARY,same_venue_distance_top3_rate,NUMERIC,
PRIMARY,same_surface_starts,NUMERIC,
PRIMARY,same_surface_mean_finish_pct,NUMERIC,
PRIMARY,same_direction_starts,NUMERIC,
PRIMARY,same_direction_mean_finish_pct,NUMERIC,
PRIMARY,jockey_90d_starts,NUMERIC,
PRIMARY,jockey_90d_mean_finish_pct,NUMERIC,
