ordered_position,feature_name,feature_type,source_dataset,race_constant_rule,authority_sha256
1,calendar_month,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
2,day_of_week,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
3,venue,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
4,race_number,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
5,race_type,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
6,surface,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
7,direction,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
8,distance_m,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
9,log_prize_1,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
10,log_prize_total,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
11,class_code,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
12,class_ordinal,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
13,class_known_flag,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
14,mixed_class_flag,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
15,age_condition_code,categorical,runner_primary_deterministic_features_v1_1,exact,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
16,sex_restriction_flag,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
17,comp_ability_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
18,comp_ability_sd,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
19,comp_ability_top3_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
20,comp_ability_gap_1_2,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
21,comp_ability_gap_3_4,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
22,comp_ability_coverage,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
23,comp_speed_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
24,comp_speed_sd,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
25,comp_speed_top3_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
26,comp_speed_coverage,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
27,comp_front_propensity_sum,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
28,comp_front_propensity_max,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
29,comp_front_propensity_sd,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
30,comp_history_coverage_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
31,comp_uncertainty_mean,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
32,comp_uncertainty_sd,numeric,runner_primary_deterministic_features_v1_1,all_nan_or_max_abs_delta_le_1e-12,7af826f35ccc329068b1342b87769a290ae8d24436b7fc0e0628c438f0d28d03
