manifest_id,feature_block,source_category,source_db,source_table,source_columns,source_use_case,adjudication_decision,strict_asof_required,same_day_allowed,current_outcome_dependency,market_dependency,external_dependency,inherits_b0,asof_rule,notes
B0_SAFE_CORE::race_static::races::race_date::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,race_date,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::venue::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,venue,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::venue_code::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,venue_code,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::race_number::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,race_number,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::race_type::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,race_type,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::surface::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,surface,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::direction::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,direction,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::distance_m::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,distance_m,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::conditions_raw::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,conditions_raw,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::prize_1::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,prize_1,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::prize_2::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,prize_2,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::prize_3::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,prize_3,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::prize_4::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,prize_4,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
B0_SAFE_CORE::race_static::races::prize_5::CURRENT_STATIC,B0_SAFE_CORE,race_static,nankan_history.sqlite,races,prize_5,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current structural pre-race value,B0 source precursor only.
